"canonical_name","ingredient_type","allergen_codes","certainty","e_number","additive_category_code","concern_level","aliases","explanation_en"
"Pea flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pea protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pea protein isolate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fava bean flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lupin","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lupin flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lupin protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lupin protein isolate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Chickpeas","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Roasted chickpeas","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Chickpea protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Chickpea starch","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Black gram","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Green gram","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pigeon pea","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Horse gram","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Cowpea","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Soybean sprouts","allergen_source","SOY","definite","","","","","A food ingredient derived from soy; it is included as an allergen-source entry for ingredient-label screening."
"Bean flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Bean protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Bean starch","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Cornmeal","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Corn flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Corn grits","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Corn flour masa","neutral","","","","","","Corn masa flour","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Masa harina","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Nixtamalized corn","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Corn bran","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Corn germ","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Corn flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Cornmeal flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice bran","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice germ","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice protein isolate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice starch","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Glutinous rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sticky rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Wild rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Black rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Red rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Arborio rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Basmati rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Jasmine rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sushi rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Brown rice flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"White rice flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice noodles","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice vermicelli","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Puffed rice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rice cereal","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sorghum flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sorghum flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Teff","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Teff flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Amaranth grain","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Amaranth flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Amaranth flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Millet flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Millet flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Finger millet flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Foxtail millet flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pearl millet flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fonio","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fonio flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Kodo millet","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Barnyard millet","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Proso millet","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Buckwheat flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Buckwheat noodles","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Quinoa flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Quinoa flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Quinoa protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Quinoa protein isolate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Chia flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Flax flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Oat bran","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Oat fibre","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Oat protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Oat protein isolate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Oat flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Steel-cut oats","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Quick oats","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Instant oats","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Gluten-free oats","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Teff grain","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rye flakes","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Rye bran","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Rye sourdough","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Barley flakes","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Pearled barley","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Hulled barley","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Barley flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Barley bran","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Barley groats","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Whole wheat flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Wholemeal flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Whole wheat bread flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Bread flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Cake flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Pastry flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Self-raising flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Strong flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Brown flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Whole durum flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Durum semolina","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Durum flour","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Pasta flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Wheat flakes","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Wheat berries","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Cracked wheat","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Wheat bran fibre","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Wheat protein","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Wheat germ oil","allergen_source","WHEAT|GLUTEN","definite","","","","","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Wheat flour blend","allergen_source","WHEAT|GLUTEN","definite","","","","Wheat blend flour","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Gluten-free flour blend","allergen_source","WHEAT|GLUTEN","definite","","","","Gluten-free blend flour","A food ingredient derived from wheat or gluten; it is included as an allergen-source entry for ingredient-label screening."
"Almond-free baking flour","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Cassava flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Coconut flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Potato flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sweet potato flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Arrowroot flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Plantain flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Green banana flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tigernut flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tigernut powder","neutral","","","","","","Tigernut","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Chestnut flour","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Hazelnut flour","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pecan flour","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Walnut flour","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pistachio flour","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Sunflower seed flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pumpkin seed flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Hemp flour","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Hemp protein","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Hemp protein isolate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Almonds","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Cashew nuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Hazelnuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Walnuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pecans","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pistachios","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Macadamia nuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Brazil nuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pine nuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Chestnuts","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Peanuts","allergen_source","PEANUT","definite","","","","","A food ingredient derived from peanut; it is included as an allergen-source entry for ingredient-label screening."
"Peanut granules","allergen_source","PEANUT","definite","","","","","A food ingredient derived from peanut; it is included as an allergen-source entry for ingredient-label screening."
"Peanut paste","allergen_source","PEANUT","definite","","","","Peanut","A food ingredient derived from peanut; it is included as an allergen-source entry for ingredient-label screening."
"Peanut meal","allergen_source","PEANUT","definite","","","","","A food ingredient derived from peanut; it is included as an allergen-source entry for ingredient-label screening."
"Almond butter","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Cashew butter","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pistachio butter","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pecan butter","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Walnut butter","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Macadamia butter","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Hazelnut spread","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Hazelnut paste","allergen_source","TREE_NUT","definite","","","","Hazelnut","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Pistachio paste","allergen_source","TREE_NUT","definite","","","","Pistachio","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Chestnut puree","allergen_source","TREE_NUT","definite","","","","","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Chestnut paste","allergen_source","TREE_NUT","definite","","","","Chestnut","A food ingredient derived from tree_nut; it is included as an allergen-source entry for ingredient-label screening."
"Sunflower seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pumpkin seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Flax seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Linseeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Chia seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Hemp seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Poppy seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Nigella seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Black sesame","allergen_source","SESAME","definite","","","","","A food ingredient derived from sesame; it is included as an allergen-source entry for ingredient-label screening."
"White sesame","allergen_source","SESAME","definite","","","","","A food ingredient derived from sesame; it is included as an allergen-source entry for ingredient-label screening."
"Pepitas","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Watermelon seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Melon seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Safflower seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mustard greens seed","allergen_source","MUSTARD","definite","","","","","A food ingredient derived from mustard; it is included as an allergen-source entry for ingredient-label screening."
"Cumin seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fennel seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Caraway seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Celery seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dill seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fenugreek seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Ajwain","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Carom seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Nigella sativa","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Psyllium seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Psyllium husk","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Psyllium husk powder","neutral","","","","","","Psyllium husk","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Basil seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sabja seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lotus seeds","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fox nuts","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Makhana","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Poppy seed paste","neutral","","","","","","Poppy seed","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sunflower seed butter","allergen_source","MILK","definite","","","","","A food ingredient derived from milk; it is included as an allergen-source entry for ingredient-label screening."
"Pumpkin seed butter","allergen_source","MILK","definite","","","","","A food ingredient derived from milk; it is included as an allergen-source entry for ingredient-label screening."
"Hemp seed butter","allergen_source","MILK","definite","","","","","A food ingredient derived from milk; it is included as an allergen-source entry for ingredient-label screening."
"Chia seed gel","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Flaxseed meal","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Ground flaxseed","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Ground chia seed","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef mince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Ground beef","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef steak","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef brisket","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef chuck","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef sirloin","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef tenderloin","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef rib","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef short rib","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef liver","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef heart","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef kidney","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef tongue","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef fat","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Beef tallow","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Veal","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Veal mince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Veal liver","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb mince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Ground lamb","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb shoulder","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb leg","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb loin","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb chop","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb liver","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lamb kidney","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mutton","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mutton mince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Goat meat","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Goat mince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Goat liver","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pork","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pork mince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Ground pork","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pork belly","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
